EventType,Timestamp,DeviceID,User  ID,Details,Value
41,СостояниеПриемаКупюр,2023-10-01 11:35:07,Банкомат57,Пользователь91,Состояние устройства приема купюр в Банкомат57 проверено,Работает
42,ОшибкаКарт,2023-10-01 11:38:24,Банкомат35,Пользователь66,Ошибка при считывании карты в Банкомат35,Карта повреждена
43,ОшибкаЖесткогоДиска,2023-10-01 11:39:38,Банкомат35,Пользователь69,Ошибка жесткого диска в Банкомат35,Ошибка чтения
44,ЗавершениеТранзакции,2023-10-01 11:40:44,Банкомат66,Пользователь83,Транзакция завершена в Банкомат66,Не удалось
45,ПроверкаКассеты,2023-10-01 11:45:12,Банкомат14,Пользователь8,Проверка состояния кассеты в Банкомат14,Хорошее
46,ПерезагрузкаУстройства,2023-10-01 11:47:18,Банкомат72,Пользователь82,Устройство Банкомат72 перезагружено,
47,Предупреждение,2023-10-01 11:48:31,Банкомат68,Пользователь24,Предупреждение в Банкомат68,Ошибка связи
48,ОтказВОбслуживании,2023-10-01 11:49:21,Банкомат79,Пользователь40,Отказ в обслуживании в Банкомат79,Техническая ошибка
49,ОжиданиеПользователя,2023-10-01 11:50:43,Банкомат23,Пользователь24,Ожидание действия от пользователя в Банкомат23,
50,ПроверкаСостоянияСвязи,2023-10-01 11:53:04,Банкомат7,Пользователь19,Проверка состояния связи в Банкомат7,Плохое
51,УстановкаОбновлений,2023-10-01 11:56:41,Банкомат20,Пользователь63,Установка обновлений в Банкомат20,Успешно
52,ПроверкаСостоянияКарт,2023-10-01 11:58:59,Банкомат77,Пользователь71,Проверка состояния карт в Банкомат77,Некоторые карты повреждены
53,ПроверкаОбновлений,2023-10-01 12:00:24,Банкомат79,Пользователь41,Проверка обновлений в Банкомат79,Обновления отсутствуют
54,ВходПользователя,2023-10-01 12:05:12,Банкомат22,Пользователь97,Пользователь Пользователь97 вошел в систему в Банкомат22,
55,ЗаменаКассеты,2023-10-01 12:09:22,Банкомат4,Пользователь70,Кассета заменена в Банкомат4,1215
56,СигнализацияОшибки,2023-10-01 12:13:06,Банкомат95,Пользователь23,Сигнализация ошибки в Банкомат95,Ошибка механизма
57,СостояниеКартриджа,2023-10-01 12:18:05,Банкомат97,Пользователь5,Состояние картриджа проверено в Банкомат97,Пустой
58,ОшибкаТехническая,2023-10-01 12:18:35,Банкомат54,Пользователь81,Техническая ошибка в Банкомат54,Ошибка питания
59,АварийноеВыключение,2023-10-01 12:19:52,Банкомат4,Пользователь59,Аварийное отключение устройства Банкомат4,Устройство отключено
60,ПроверкаЖесткогоДиска,2023-10-01 12:23:42,Банкомат6,Пользователь84,Проверка жесткого диска в Банкомат6,21
61,ПроверкаСистемныхЛогов,2023-10-01 12:24:23,Банкомат64,Пользователь88,Проверка системных логов в Банкомат64,Найдены ошибки
62,ОшибкаОбновления,2023-10-01 12:24:40,Банкомат55,Пользователь83,Ошибка обновления в Банкомат55,Ошибка совместимости
63,ОшибкаЖесткогоДиска,2023-10-01 12:27:58,Банкомат26,Пользователь82,Ошибка жесткого диска в Банкомат26,Нет свободного места
64,ОшибкаТехническая,2023-10-01 12:29:09,Банкомат56,Пользователь37,Техническая ошибка в Банкомат56,Ошибка питания
65,ОшибкаПечати,2023-10-01 12:30:20,Банкомат40,Пользователь23,Ошибка печати в Банкомат40,Нет бумаги
66,ОшибкаОбновления,2023-10-01 12:32:01,Банкомат46,Пользователь51,Ошибка обновления в Банкомат46,Ошибка совместимости
67,ОшибкаТехническая,2023-10-01 12:36:35,Банкомат82,Пользователь74,Техническая ошибка в Банкомат82,Ошибка связи
68,ОбслуживаниеТребуется,2023-10-01 12:41:29,Банкомат61,Пользователь75,Требуется обслуживание Банкомат61,Профилактическое
69,ОжиданиеПользователя,2023-10-01 12:45:22,Банкомат68,Пользователь83,Ожидание действия от пользователя в Банкомат68,
70,ОшибкаСинхронизацииДанных,2023-10-01 12:49:57,Банкомат73,Пользователь85,Ошибка синхронизации данных в Банкомат73,Проблема с сетью
71,ОшибкаОбновления,2023-10-01 12:53:16,Банкомат98,Пользователь61,Ошибка обновления в Банкомат98,Ошибка совместимости
72,ТестированиеУстройства,2023-10-01 12:53:18,Банкомат80,Пользователь15,Тестирование устройства Банкомат80 завершено,Успешно
73,ТестированиеСистемы,2023-10-01 12:54:29,Банкомат31,Пользователь18,Тестирование системы в Банкомат31,Все системы работают
74,СостояниеКартриджа,2023-10-01 12:57:39,Банкомат13,Пользователь44,Состояние картриджа проверено в Банкомат13,Пустой
75,ПроверкаСостоянияПечати,2023-10-01 13:00:19,Банкомат74,Пользователь60,Проверка состояния печати в Банкомат74,Принтер не работает
76,ПроверкаСостоянияКлавиатуры,2023-10-01 13:05:02,Банкомат31,Пользователь6,Проверка состояния клавиатуры в Банкомат31,Клавиатура работает
77,ЗавершениеТранзакции,2023-10-01 13:07:08,Банкомат85,Пользователь62,Транзакция завершена в Банкомат85,Не удалось
78,ОшибкаКарт,2023-10-01 13:10:52,Банкомат59,Пользователь47,Ошибка при считывании карты в Банкомат59,Карта повреждена
79,ОшибкаОбновления,2023-10-01 13:14:23,Банкомат16,Пользователь32,Ошибка обновления в Банкомат16,Ошибка совместимости
80,СбросНастроек,2023-10-01 13:18:45,Банкомат91,Пользователь23,Сброс настроек в Банкомат91,Настройки сброшены
81,ОжиданиеПользователя,2023-10-01 13:19:24,Банкомат11,Пользователь5,Ожидание действия от пользователя в Банкомат11,
82,ЗаменаКассеты,2023-10-01 13:24:12,Банкомат1,Пользователь11,Кассета заменена в Банкомат1,1222
83,Предупреждение,2023-10-01 13:26:17,Банкомат86,Пользователь23,Предупреждение в Банкомат86,Низкий уровень наличных
84,ОшибкаСети,2023-10-01 13:30:56,Банкомат30,Пользователь83,Ошибка сети в Банкомат30,Потеря пакетов
85,ЗаменаКартриджа,2023-10-01 13:33:57,Банкомат54,Пользователь11,Замена картриджа в Банкомат54,Успешно
86,ТестированиеСистемы,2023-10-01 13:34:37,Банкомат82,Пользователь83,Тестирование системы в Банкомат82,Все системы работают
87,СбросНастроек,2023-10-01 13:36:06,Банкомат97,Пользователь60,Сброс настроек в Банкомат97,Настройки сброшены
88,ОтказВОбслуживании,2023-10-01 13:37:44,Банкомат17,Пользователь87,Отказ в обслуживании в Банкомат17,Техническая ошибка
89,ОшибкаСети,2023-10-01 13:42:30,Банкомат87,Пользователь63,Ошибка сети в Банкомат87,Потеря пакетов
90,ВосстановлениеСвязи,2023-10-01 13:43:05,Банкомат56,Пользователь51,Связь восстановлена в Банкомат56,
91,ПроверкаБаланс,2023-10-01 13:44:07,Банкомат63,Пользователь99,Проверка баланса пользователем Пользователь99 в Банкомат63,159
92,ОбслуживаниеТребуется,2023-10-01 13:44:11,Банкомат65,Пользователь22,Требуется обслуживание Банкомат65,Техническое
93,ОшибкаПечати,2023-10-01 13:44:27,Банкомат1,Пользователь90,Ошибка печати в Банкомат1,Ошибка механизма
94,СостояниеУстройстваИзменено,2023-10-01 13:48:23,Банкомат52,Пользователь56,Состояние устройства Банкомат52 изменилось,Закрыто
95,ПроверкаСостоянияКлавиатуры,2023-10-01 13:49:26,Банкомат33,Пользователь96,Проверка состояния клавиатуры в Банкомат33,Клавиатура работает
96,ПроблемаСоСвязью,2023-10-01 13:53:44,Банкомат32,Пользователь60,Проблема со связью в Банкомат32,Потеря соединения
97,ОшибкаСети,2023-10-01 13:55:20,Банкомат62,Пользователь62,Ошибка сети в Банкомат62,Потеря пакетов
98,ПроверкаСистемныхЛогов,2023-10-01 13:56:07,Банкомат40,Пользователь55,Проверка системных логов в Банкомат40,Найдены ошибки
99,ОшибкаТехническая,2023-10-01 14:01:03,Банкомат24,Пользователь94,Техническая ошибка в Банкомат24,Ошибка связи
100,ОшибкаОбновления,2023-10-01 14:04:43,Банкомат22,Пользователь35,Ошибка обновления в Банкомат22,Ошибка совместимости
101,ОшибкаОбновления,2023-10-01 14:09:17,Банкомат70,Пользователь90,Ошибка обновления в Банкомат70,Ошибка сети
102,ОшибкаКарт,2023-10-01 14:14:07,Банкомат18,Пользователь66,Ошибка при считывании карты в Банкомат18,Карта не распознана
103,СостояниеКартриджа,2023-10-01 14:15:11,Банкомат63,Пользователь60,Состояние картриджа проверено в Банкомат63,Пустой
104,ЗавершениеТранзакции,2023-10-01 14:17:46,Банкомат30,Пользователь31,Транзакция завершена в Банкомат30,Успешно
105,АварийноеВыключение,2023-10-01 14:17:47,Банкомат16,Пользователь3,Аварийное отключение устройства Банкомат16,Устройство отключено
106,ОшибкаСети,2023-10-01 14:22:17,Банкомат47,Пользователь50,Ошибка сети в Банкомат47,Нет соединения
107,ОбработкаЗапроса,2023-10-01 14:24:42,Банкомат50,Пользователь67,Обработка запроса пользователя Пользователь67 в Банкомат50,
108,ЗагрузкаПроцессораВысокая,2023-10-01 14:26:51,Банкомат64,Пользователь3,Высокая загрузка процессора в Банкомат64,93
109,ПроверкаСостоянияПечати,2023-10-01 14:29:07,Банкомат95,Пользователь37,Проверка состояния печати в Банкомат95,Принтер не работает
110,ОбновлениеПрограммногоОбеспечения,2023-10-01 14:30:10,Банкомат34,Пользователь9,Обновление ПО в Банкомат34,Успешно
111,ВыходПользователя,2023-10-01 14:32:32,Банкомат3,Пользователь32,Пользователь Пользователь32 вышел из системы в Банкомат3,
112,ПроблемаСоСвязью,2023-10-01 14:34:34,Банкомат96,Пользователь83,Проблема со связью в Банкомат96,Потеря соединения
113,ЗажеваннаяКупюра,2023-10-01 14:36:41,Банкомат19,Пользователь80,Купюра зажевана в Банкомат19,100
114,ПроверкаКассеты,2023-10-01 14:37:38,Банкомат2,Пользователь29,Проверка состояния кассеты в Банкомат2,Нуждается в замене
115,ОбновлениеБезопасности,2023-10-01 14:39:40,Банкомат1,Пользователь13,Обновление систем безопасности в Банкомат1,Успешно
116,СигнализацияОшибки,2023-10-01 14:40:07,Банкомат77,Пользователь29,Сигнализация ошибки в Банкомат77,Ошибка механизма
117,СостояниеПриемаКупюр,2023-10-01 14:40:47,Банкомат55,Пользователь84,Состояние устройства приема купюр в Банкомат55 проверено,Не работает
118,ПроверкаСистемныхЛогов,2023-10-01 14:41:36,Банкомат79,Пользователь77,Проверка системных логов в Банкомат79,Ошибок не найдено
119,ВнесениеНаличных,2023-10-01 14:43:55,Банкомат8,Пользователь38,Пользователь Пользователь38 внес 138 рублей в Банкомат8,138
120,ОбновлениеБезопасности,2023-10-01 14:48:34,Банкомат30,Пользователь16,Обновление систем безопасности в Банкомат30,Не удалось
121,ОбновлениеПрограммногоОбеспечения,2023-10-01 14:49:23,Банкомат8,Пользователь16,Обновление ПО в Банкомат8,Успешно
122,ОшибкаЖесткогоДиска,2023-10-01 14:53:37,Банкомат84,Пользователь49,Ошибка жесткого диска в Банкомат84,Ошибка чтения
123,СостояниеУстройстваИзменено,2023-10-01 14:57:57,Банкомат66,Пользователь58,Состояние устройства Банкомат66 изменилось,Закрыто
124,ЗажеваннаяКупюра,2023-10-01 14:59:08,Банкомат36,Пользователь70,Купюра зажевана в Банкомат36,500
125,ОшибкаСети,2023-10-01 15:00:25,Банкомат31,Пользователь7,Ошибка сети в Банкомат31,Нет соединения
126,АварийноеВыключение,2023-10-01 15:03:29,Банкомат82,Пользователь93,Аварийное отключение устройства Банкомат82,Устройство отключено
127,ЗаполнениеКассеты,2023-10-01 15:06:37,Банкомат21,Пользователь17,Кассета заполнена в Банкомат21,1689
128,ЗавершениеТранзакции,2023-10-01 15:10:23,Банкомат35,Пользователь97,Транзакция завершена в Банкомат35,Успешно
129,СостояниеКартриджа,2023-10-01 15:13:28,Банкомат45,Пользователь51,Состояние картриджа проверено в Банкомат45,Полный
130,СбросНастроек,2023-10-01 15:16:29,Банкомат14,Пользователь85,Сброс настроек в Банкомат14,Настройки сброшены
131,ПроверкаЭнергоснабжения,2023-10-01 15:21:07,Банкомат88,Пользователь10,Проверка состояния энергоснабжения в Банкомат88,Проблемы с энергоснабжением
132,АварийноеВыключение,2023-10-01 15:22:14,Банкомат20,Пользователь32,Аварийное отключение устройства Банкомат20,Устройство отключено
133,СостояниеПриемаКупюр,2023-10-01 15:25:29,Банкомат10,Пользователь15,Состояние устройства приема купюр в Банкомат10 проверено,Работает
134,ПроверкаЖесткогоДиска,2023-10-01 15:28:01,Банкомат55,Пользователь71,Проверка жесткого диска в Банкомат55,42
135,ПроверкаСостоянияКарт,2023-10-01 15:31:52,Банкомат2,Пользователь81,Проверка состояния карт в Банкомат2,Некоторые карты повреждены
136,ЗавершениеТранзакции,2023-10-01 15:36:08,Банкомат51,Пользователь40,Транзакция завершена в Банкомат51,Успешно
137,ПроверкаСистемныхЛогов,2023-10-01 15:38:25,Банкомат81,Пользователь96,Проверка системных логов в Банкомат81,Ошибок не найдено
138,СостояниеПриемаКупюр,2023-10-01 15:42:31,Банкомат18,Пользователь99,Состояние устройства приема купюр в Банкомат18 проверено,Не работает
139,ОшибкаТехническая,2023-10-01 15:47:04,Банкомат69,Пользователь21,Техническая ошибка в Банкомат69,Ошибка питания
140,ВосстановлениеСвязи,2023-10-01 15:49:21,Банкомат32,Пользователь30,Связь восстановлена в Банкомат32,
141,СостояниеУстройстваИзменено,2023-10-01 15:53:25,Банкомат80,Пользователь12,Состояние устройства Банкомат80 изменилось,Закрыто
142,ОшибкаПриемаКупюр,2023-10-01 15:55:57,Банкомат17,Пользователь83,Ошибка приема купюр в Банкомат17,Купюра зажевана
143,ОшибкаОбновления,2023-10-01 16:00:18,Банкомат72,Пользователь54,Ошибка обновления в Банкомат72,Ошибка совместимости
144,СостояниеКартриджа,2023-10-01 16:01:53,Банкомат72,Пользователь87,Состояние картриджа проверено в Банкомат72,Полный
145,УстановкаОбновлений,2023-10-01 16:03:02,Банкомат100,Пользователь26,Установка обновлений в Банкомат100,Не удалось
146,ОтказВОбслуживании,2023-10-01 16:04:03,Банкомат49,Пользователь68,Отказ в обслуживании в Банкомат49,Техническая ошибка
147,ВходПользователя,2023-10-01 16:05:35,Банкомат47,Пользователь86,Пользователь Пользователь86 вошел в систему в Банкомат47,
148,СостояниеПриемаКупюр,2023-10-01 16:08:08,Банкомат11,Пользователь47,Состояние устройства приема купюр в Банкомат11 проверено,Не работает
149,ЗагрузкаПроцессораВысокая,2023-10-01 16:12:15,Банкомат90,Пользователь67,Высокая загрузка процессора в Банкомат90,93
150,ВыходПользователя,2023-10-01 16:14:49,Банкомат7,Пользователь67,Пользователь Пользователь67 вышел из системы в Банкомат7,
151,ОшибкаЖесткогоДиска,2023-10-01 16:15:47,Банкомат76,Пользователь69,Ошибка жесткого диска в Банкомат76,Нет свободного места
152,ОшибкаТехническая,2023-10-01 16:18:00,Банкомат40,Пользователь26,Техническая ошибка в Банкомат40,Ошибка питания
153,ПроверкаБаланс,2023-10-01 16:19:05,Банкомат13,Пользователь58,Проверка баланса пользователем Пользователь58 в Банкомат13,3979
154,ОбновлениеБезопасности,2023-10-01 16:21:34,Банкомат44,Пользователь41,Обновление систем безопасности в Банкомат44,Не удалось
155,ПроверкаОбновлений,2023-10-01 16:25:18,Банкомат19,Пользователь16,Проверка обновлений в Банкомат19,Обновления отсутствуют
156,ОшибкаКарт,2023-10-01 16:28:35,Банкомат43,Пользователь1,Ошибка при считывании карты в Банкомат43,Карта не распознана
157,ОбработкаЗапроса,2023-10-01 16:31:56,Банкомат62,Пользователь6,Обработка запроса пользователя Пользователь6 в Банкомат62,
158,ОшибкаЖесткогоДиска,2023-10-01 16:36:37,Банкомат85,Пользователь41,Ошибка жесткого диска в Банкомат85,Ошибка чтения
159,ОшибкаСинхронизацииДанных,2023-10-01 16:38:49,Банкомат84,Пользователь62,Ошибка синхронизации данных в Банкомат84,Проблема с сетью
160,ЗаменаКассеты,2023-10-01 16:41:38,Банкомат43,Пользователь42,Кассета заменена в Банкомат43,1178
161,ПроверкаЭнергоснабжения,2023-10-01 16:45:59,Банкомат95,Пользователь19,Проверка состояния энергоснабжения в Банкомат95,Проблемы с энергоснабжением
162,ПроверкаСостоянияСвязи,2023-10-01 16:47:53,Банкомат66,Пользователь9,Проверка состояния связи в Банкомат66,Плохое
163,ОтказВОбслуживании,2023-10-01 16:52:49,Банкомат83,Пользователь59,Отказ в обслуживании в Банкомат83,Техническая ошибка
164,СостояниеУстройстваИзменено,2023-10-01 16:56:34,Банкомат1,Пользователь6,Состояние устройства Банкомат1 изменилось,Закрыто
165,ЗаменаКассеты,2023-10-01 16:59:37,Банкомат3,Пользователь87,Кассета заменена в Банкомат3,1176
166,ЗажеваннаяКупюра,2023-10-01 16:59:53,Банкомат54,Пользователь74,Купюра зажевана в Банкомат54,100
167,ПроверкаСостоянияСвязи,2023-10-01 17:00:43,Банкомат65,Пользователь15,Проверка состояния связи в Банкомат65,Плохое
168,ПроблемаСоСвязью,2023-10-01 17:01:44,Банкомат90,Пользователь90,Проблема со связью в Банкомат90,Потеря соединения
169,ПроверкаЖесткогоДиска,2023-10-01 17:02:20,Банкомат30,Пользователь28,Проверка жесткого диска в Банкомат30,58
170,ОбновлениеБезопасности,2023-10-01 17:03:28,Банкомат96,Пользователь60,Обновление систем безопасности в Банкомат96,Не удалось
171,ТестированиеСистемы,2023-10-01 17:08:27,Банкомат16,Пользователь59,Тестирование системы в Банкомат16,Некоторые системы не работают
172,ПроверкаКассеты,2023-10-01 17:09:10,Банкомат38,Пользователь46,Проверка состояния кассеты в Банкомат38,Хорошее
173,СбросНастроек,2023-10-01 17:12:23,Банкомат56,Пользователь4,Сброс настроек в Банкомат56,Настройки сброшены
174,ОбновлениеБезопасности,2023-10-01 17:12:51,Банкомат59,Пользователь6,Обновление систем безопасности в Банкомат59,Успешно
175,ВходПользователя,2023-10-01 17:15:04,Банкомат72,Пользователь80,Пользователь Пользователь80 вошел в систему в Банкомат72,
176,УстановкаОбновлений,2023-10-01 17:18:56,Банкомат68,Пользователь81,Установка обновлений в Банкомат68,Успешно
177,ПроверкаСостоянияПечати,2023-10-01 17:22:43,Банкомат82,Пользователь88,Проверка состояния печати в Банкомат82,Принтер работает
178,СигнализацияОшибки,2023-10-01 17:27:06,Банкомат65,Пользователь25,Сигнализация ошибки в Банкомат65,Ошибка механизма
179,ОбновлениеБезопасности,2023-10-01 17:29:27,Банкомат6,Пользователь42,Обновление систем безопасности в Банкомат6,Успешно
180,ОшибкаТехническая,2023-10-01 17:34:26,Банкомат99,Пользователь59,Техническая ошибка в Банкомат99,Ошибка связи
181,ПроверкаСостоянияКлавиатуры,2023-10-01 17:35:48,Банкомат15,Пользователь43,Проверка состояния клавиатуры в Банкомат15,Клавиатура работает
182,ОшибкаСинхронизацииДанных,2023-10-01 17:39:53,Банкомат61,Пользователь39,Ошибка синхронизации данных в Банкомат61,Проблема с сетью
183,ПроверкаСостоянияПечати,2023-10-01 17:42:59,Банкомат20,Пользователь5,Проверка состояния печати в Банкомат20,Принтер не работает
184,Предупреждение,2023-10-01 17:43:49,Банкомат70,Пользователь87,Предупреждение в Банкомат70,Низкий уровень наличных
185,СостояниеУстройстваИзменено,2023-10-01 17:47:00,Банкомат39,Пользователь16,Состояние устройства Банкомат39 изменилось,Закрыто
186,ВходПользователя,2023-10-01 17:51:37,Банкомат1,Пользователь83,Пользователь Пользователь83 вошел в систему в Банкомат1,
187,ОшибкаСети,2023-10-01 17:52:51,Банкомат31,Пользователь21,Ошибка сети в Банкомат31,Потеря пакетов
188,ТестированиеСистемы,2023-10-01 17:55:00,Банкомат58,Пользователь59,Тестирование системы в Банкомат58,Все системы работают
189,ОшибкаЖесткогоДиска,2023-10-01 17:56:21,Банкомат99,Пользователь4,Ошибка жесткого диска в Банкомат99,Ошибка чтения
190,СостояниеУстройстваИзменено,2023-10-01 17:58:03,Банкомат77,Пользователь63,Состояние устройства Банкомат77 изменилось,Открыто
191,ОтказВОбслуживании,2023-10-01 18:00:34,Банкомат9,Пользователь36,Отказ в обслуживании в Банкомат9,Техническая ошибка
192,ПерезагрузкаУстройства,2023-10-01 18:04:31,Банкомат57,Пользователь44,Устройство Банкомат57 перезагружено,
193,ОшибкаПриемаКупюр,2023-10-01 18:06:38,Банкомат1,Пользователь17,Ошибка приема купюр в Банкомат1,Купюра повреждена
194,СостояниеУстройстваИзменено,2023-10-01 18:07:12,Банкомат38,Пользователь37,Состояние устройства Банкомат38 изменилось,Открыто
195,ЗагрузкаПроцессораВысокая,2023-10-01 18:09:26,Банкомат77,Пользователь35,Высокая загрузка процессора в Банкомат77,95
196,АварийноеВыключение,2023-10-01 18:12:33,Банкомат91,Пользователь38,Аварийное отключение устройства Банкомат91,Устройство отключено
197,ПроверкаЖесткогоДиска,2023-10-01 18:15:17,Банкомат43,Пользователь74,Проверка жесткого диска в Банкомат43,97
198,ЗагрузкаПроцессораВысокая,2023-10-01 18:16:28,Банкомат20,Пользователь95,Высокая загрузка процессора в Банкомат20,100
199,ОбработкаЗапроса,2023-10-01 18:18:11,Банкомат28,Пользователь34,Обработка запроса пользователя Пользователь34 в Банкомат28,
200,СостояниеУстройстваИзменено,2023-10-01 18:18:19,Банкомат100,Пользователь47,Состояние устройства Банкомат100 изменилось,Открыто
201,ПроверкаОбновлений,2023-10-01 18:22:36,Банкомат79,Пользователь88,Проверка обновлений в Банкомат79,Обновления доступны
202,ЗаменаКассеты,2023-10-01 18:24:35,Банкомат79,Пользователь36,Кассета заменена в Банкомат79,1832
203,ПроверкаОбновлений,2023-10-01 18:25:47,Банкомат87,Пользователь37,Проверка обновлений в Банкомат87,Обновления отсутствуют
204,СбросНастроек,2023-10-01 18:28:05,Банкомат13,Пользователь76,Сброс настроек в Банкомат13,Настройки сброшены
205,ОшибкаЖесткогоДиска,2023-10-01 18:32:49,Банкомат90,Пользователь24,Ошибка жесткого диска в Банкомат90,Ошибка чтения
206,ТестированиеУстройства,2023-10-01 18:33:57,Банкомат19,Пользователь81,Тестирование устройства Банкомат19 завершено,Успешно
207,СостояниеУстройстваИзменено,2023-10-01 18:34:35,Банкомат95,Пользователь99,Состояние устройства Банкомат95 изменилось,Закрыто
208,ОшибкаТехническая,2023-10-01 18:37:26,Банкомат13,Пользователь27,Техническая ошибка в Банкомат13,Ошибка питания
209,ПроверкаЖесткогоДиска,2023-10-01 18:39:09,Банкомат10,Пользователь48,Проверка жесткого диска в Банкомат10,78
210,ТестированиеСистемы,2023-10-01 18:41:36,Банкомат91,Пользователь63,Тестирование системы в Банкомат91,Некоторые системы не работают
